CNPJ_CIA,DATA_INI,TICKER
16.676.520/0001-59,14/04/2021,MATD3
33.200.049/0001-47,08/08/1980,HOOT3
33.200.049/0001-47,08/08/1980,HOOT4
02.932.074/0001-91,16/04/2008,HYPE3
43.185.362/0001-07,01/10/2014,IGBR3
08.159.965/0001-33,23/03/2011,IGSN3
08.159.965/0001-33,13/05/2013,IGSN3
60.543.816/0001-93,12/03/1946,IGTI11
60.543.816/0001-93,12/03/1946,IGTI3
56.720.428/0001-63,19/04/1938,ROMI3
76.627.504/0001-06,22/01/1980,INEP3
76.627.504/0001-06,22/01/1980,INEP4
38.456.921/0001-36,27/04/2021,IFCM3
19.378.769/0001-76,10/02/2017,PARD3
19.378.769/0001-76,10/02/2017,PARD3
82.901.000/0001-27,02/02/2021,INTB3
09.611.768/0001-76,09/11/2017,INNT3
17.314.329/0001-20,19/03/2015,MEAL3
03.758.318/0001-24,29/09/2000,IVPR3B
03.758.318/0001-24,29/09/2000,IVPR4B
03.758.318/0001-24,29/09/2000,IVPR3B
03.758.318/0001-24,29/09/2000,IVPR4B
01.548.981/0001-79,20/07/1977,FIGE3
01.548.981/0001-79,20/07/1977,FIGE4
61.156.113/0001-75,17/07/1984,MYPK3
61.156.113/0001-75,17/07/1984,MYPK3
61.156.113/0001-75,17/07/1984,MYPK3
92.791.243/0001-03,20/07/1977,RANI3
33.376.989/0001-91,27/07/2017,IRBR3
33.376.989/0001-91,27/07/2017,IRBR3
60.872.504/0001-23,08/04/1998,ITUB3
60.872.504/0001-23,08/04/1998,ITUB4
60.872.504/0001-23,30/12/2002,ITUB3
60.872.504/0001-23,30/12/2002,ITUB4
61.532.644/0001-15,20/07/1977,ITSA3
61.532.644/0001-15,20/07/1977,ITSA4
61.532.644/0001-15,20/07/1977,ITSA3
61.532.644/0001-15,20/07/1977,ITSA4
02.635.522/0001-95,04/02/2021,JALL3
02.916.265/0001-60,27/03/2007,JBSS3
08.294.224/0001-65,04/04/2007,JHSF3
33.035.536/0001-00,19/05/2021,JFEN3
87.456.562/0001-22,04/03/1988,JOPA3
87.456.562/0001-22,04/03/1988,JOPA4
52.548.435/0001-79,15/04/2010,JSLG3
52.548.435/0001-79,15/04/2010,JSLG3
82.640.558/0001-04,29/12/1971,CTKA3
82.640.558/0001-04,29/12/1971,CTKA4
91.983.056/0001-69,15/12/1980,KEPL3
89.637.490/0001-45,06/08/1997,KLBN11
89.637.490/0001-45,06/08/1997,KLBN3
89.637.490/0001-45,06/08/1997,KLBN4
13.270.520/0001-66,13/05/2021,KRSA3
26.462.693/0001-28,31/08/2020,LAVV3
02.357.251/0001-53,08/11/2019,LMED3
03.378.521/0001-75,12/12/2005,LIGT3
00.743.065/0001-27,18/10/1995,LTEL3B
05.495.546/0001-84,05/09/2019,LTLA3B
05.917.486/0001-40,13/05/2021,LVTC3
16.670.085/0001-55,06/05/2005,RENT3
16.670.085/0001-55,06/05/2005,RENT3
02.351.877/0001-52,18/03/2009,LWSA3
02.351.877/0001-52,04/02/2020,LWSA3
09.041.168/0001-10,12/11/2013,LOGG3
42.278.291/0001-24,04/06/2007,LOGN3
33.014.556/0001-96,10/12/2021,LAME3
33.014.556/0001-96,10/12/2021,LAME4
33.014.556/0001-96,10/12/2021,LAME3
33.014.556/0001-96,10/12/2021,LAME4
16.233.389/0001-55,10/02/2021,LLBI3
96.418.264/0218-02,06/08/2020,LJQQ3
96.418.264/0218-02,06/08/2020,LJQQ3
92.754.738/0001-62,20/07/1977,LREN3
92.754.738/0001-62,20/07/1977,LREN3
08.078.847/0001-09,12/12/2006,LPSB3
89.463.822/0001-12,08/05/2006,LUPA3
07.206.816/0001-15,11/10/2006,MDIA3
08.795.211/0001-70,26/05/2015,MSRO3
08.795.211/0001-70,26/05/2015,MSRO3
47.960.950/0001-21,28/04/2011,MGLU3
60.476.884/0001-87,20/07/1977,LEVE3
61.065.298/0001-02,28/12/1971,MGEL3
61.065.298/0001-02,28/12/1971,MGEL4
61.082.004/0001-50,14/07/2011,ESTR3
61.082.004/0001-50,14/07/2011,ESTR4
88.611.835/0001-29,20/07/1977,POMO3
88.611.835/0001-29,20/07/1977,POMO4
03.853.896/0001-40,18/06/2007,MRFG3
61.189.288/0001-89,14/06/2010,AMAR3
14.110.585/0001-07,03/11/2020,CASH3
12.181.987/0001-77,24/09/2020,MELK3
33.040.601/0001-87,20/07/1977,MERC3
33.040.601/0001-87,20/07/1977,MERC4
04.821.041/0001-08,10/04/2007,FRIO3
80.227.184/0001-66,02/09/1968,MTIG3
80.227.184/0001-66,02/09/1968,MTIG4
92.690.783/0001-09,17/05/1968,GOAU3
92.690.783/0001-09,17/05/1968,GOAU4
92.690.783/0001-09,17/05/1968,GOAU3
92.690.783/0001-09,17/05/1968,GOAU4
85.778.074/0001-06,29/11/1988,RSUL3
85.778.074/0001-06,29/11/1988,RSUL4
86.375.425/0001-09,18/05/1971,MTSA3
86.375.425/0001-09,18/05/1971,MTSA4
27.093.558/0001-15,14/04/2010,MILS3
27.093.558/0001-15,14/04/2010,MILS3
17.161.241/0001-15,20/07/1977,MMAQ3
17.161.241/0001-15,20/07/1977,MMAQ4
67.620.377/0001-14,18/07/2007,BEEF3
90.076.886/0001-40,21/12/1990,MNPR3
07.882.930/0001-65,03/02/2020,MTRE3
02.762.115/0001-49,10/11/1998,MMXM11
02.762.115/0001-49,10/11/1998,MMXM3
31.553.627/0001-01,03/02/2021,MBLY3
33.102.476/0001-92,07/05/1980,MOAR3
33.102.476/0001-92,07/05/1980,MOAR3
09.083.175/0001-84,16/05/2022,MOSI3
12.049.631/0001-84,23/08/2007,MDNE3
12.049.631/0001-84,23/08/2007,MDNE3
21.314.559/0001-66,29/01/2016,MOVI3
21.314.559/0001-66,29/01/2016,MOVI3
26.659.061/0001-59,28/01/2021,ESPA3
01.417.222/0001-77,13/11/1998,MRSA3B
01.417.222/0001-77,13/11/1998,MRSA5B
01.417.222/0001-77,13/11/1998,MRSA6B
08.343.492/0001-20,13/07/2007,MRVE3
59.717.553/0001-02,20/07/2021,MLAS3
07.816.890/0001-53,25/07/2007,MULT3
07.816.890/0001-53,25/07/2007,MULT3
88.610.191/0001-54,12/12/1979,MNDL3
32.785.497/0001-97,25/09/2019,NTCO3
01.083.200/0001-18,08/05/1996,NEOE3
10.139.870/0001-08,15/12/2020,NGRD3
08.613.550/0001-98,26/10/2007,BBRK3
60.884.319/0001-59,23/08/1956,NORD3
29.950.060/0001-57,23/11/2012,NRTQ3
19.853.511/0001-84,18/03/2022,GNDI3
51.128.999/0001-90,11/02/2008,NUTR3
09.114.805/0001-30,10/02/2021,OPCT3
58.119.199/0001-51,13/06/2006,ODPV3
76.535.764/0001-43,27/03/1980,OIBR3
76.535.764/0001-43,27/03/1980,OIBR4
42.500.384/0001-51,01/12/2021,MEGA3
12.104.241/0004-02,06/08/2021,ONCO3
02.318.346/0001-68,03/12/2021,OPHE3B
11.421.994/0001-36,11/02/2021,ORVR3
11.421.994/0001-36,11/02/2021,ORVR3
09.112.685/0001-32,26/02/2008,OSXB3
20.258.278/0001-70,17/10/2014,OFSA3
02.365.069/0001-44,02/08/1999,PDTC3
92.693.019/0001-89,29/12/1971,PATI3
92.693.019/0001-89,29/12/1971,PATI4
60.398.369/0004-79,20/07/1977,PMAM3
60.398.369/0004-79,20/07/1977,PMAM3
83.475.913/0001-91,04/01/1991,PTBL3
02.950.811/0001-89,23/01/2007,PDGR3
18.328.118/0001-09,09/09/2020,PETZ3
18.328.118/0001-09,09/09/2020,PETZ3
10.629.105/0001-68,21/10/2010,PRIO3
33.000.167/0001-01,20/07/1977,PETR3
33.000.167/0001-01,20/07/1977,PETR4
33.000.167/0001-01,20/07/1977,PETR3
33.000.167/0001-01,20/07/1977,PETR4
03.342.704/0001-30,30/04/2021,RECV3
88.613.658/0001-10,04/02/1981,PTNT3
88.613.658/0001-10,04/02/1981,PTNT4
24.230.275/0001-80,04/09/2020,PLPL3
51.928.174/0001-50,19/04/1989,PLAS3
59.789.545/0001-71,03/03/1989,PPAR3
86.550.951/0001-50,28/12/2004,FRTA3
02.149.205/0001-69,28/11/1997,PSSA3
18.494.485/0001-82,11/11/2014,PSVM11
81.243.735/0001-48,06/12/2006,POSI3
08.574.411/0001-00,27/09/2018,PTCA11
08.574.411/0001-00,27/09/2018,PTCA3
18.593.815/0001-97,02/10/2017,PRNR3
18.593.815/0001-97,02/10/2017,PRNR3
02.291.077/0001-93,07/02/2002,PRMN3B
45.453.214/0001-51,24/10/2006,PFRM3
11.992.680/0001-93,17/06/2011,QUAL3
35.791.391/0001-94,03/12/2013,QUSW3
61.585.865/0001-51,20/07/1977,RADL3
61.585.865/0001-51,20/07/1977,RADL3
33.453.598/0001-23,28/05/2021,RAIZ4
89.086.144/0001-16,05/02/1993,RAPT3
89.086.144/0001-16,05/02/1993,RAPT4
89.086.144/0001-16,05/02/1993,RAPT3
89.086.144/0001-16,05/02/1993,RAPT4
91.333.666/0001-17,20/12/1985,RCSL3
91.333.666/0001-17,20/12/1985,RCSL4
06.047.087/0001-39,21/10/2019,RDOR3
61.584.140/0001-49,16/10/1969,REDE3
33.412.081/0001-96,14/05/1970,RPMG3
08.534.605/0001-74,20/08/2008,RNEW11
08.534.605/0001-74,20/08/2008,RNEW3
08.534.605/0001-74,20/08/2008,RNEW4
49.669.856/0001-43,18/04/2008,LLIS3
02.998.301/0001-81,14/07/1999,GEPA3
02.998.301/0001-81,14/07/1999,GEPA4
02.998.301/0001-81,14/07/1999,GEPA3
02.998.301/0001-81,14/07/1999,GEPA4
67.010.660/0001-24,18/01/2007,RDNI3
61.065.751/0001-80,01/07/1997,RSID3
24.962.466/0001-36,27/12/1995,FRRN3B
24.962.466/0001-36,27/12/1995,FRRN5B
02.387.241/0001-60,02/07/1998,RAIL3
02.387.241/0001-60,02/07/1998,RAIL3
14.807.945/0001-24,06/05/1986,SNSY3
14.807.945/0001-24,06/05/1986,SNSY5
14.807.945/0001-24,06/05/1986,SNSY6
02.762.121/0001-04,09/11/1998,STBP3
02.762.121/0001-04,09/11/1998,STBP3
29.780.061/0001-09,25/03/1991,SCAR3
29.780.061/0001-09,25/03/1991,SCAR3
51.466.860/0001-56,07/02/2007,SMTO3
62.002.886/0001-60,20/10/1977,AHEB3
62.002.886/0001-60,20/10/1977,AHEB5
62.002.886/0001-60,20/10/1977,AHEB6
60.500.139/0001-26,20/07/1977,SLED3
60.500.139/0001-26,20/07/1977,SLED4
84.693.183/0001-68,19/12/1994,SHUL3
84.693.183/0001-68,19/12/1994,SHUL4
06.057.223/0001-71,11/12/2020,ASAI3
01.599.101/0001-93,05/10/2020,SEQL3
04.986.320/0001-13,18/10/2013,SEER3
61.156.931/0001-78,06/06/1986,APTI3
61.156.931/0001-78,06/06/1986,APTI4
07.415.333/0001-20,29/07/2020,SIMH3
04.065.791/0001-99,26/04/2012,SQIA3
04.065.791/0001-99,26/04/2012,SQIA3
89.096.457/0001-55,12/06/2007,SLCE3
07.594.978/0001-78,20/10/2017,SMFT3
07.594.978/0001-78,20/10/2017,SMFT3
33.386.210/0001-19,19/08/1980,SOND3
33.386.210/0001-19,19/08/1980,SOND5
33.386.210/0001-19,19/08/1980,SOND6
07.718.269/0001-57,25/07/2007,SGPS3
91.495.499/0001-00,18/09/2017,STTR3
00.622.416/0001-41,19/09/2011,STKF3
